Neighborhood,section,latitude,longitude
ameerpet,Central,17.4375012,78.4482505
begumpet,Central,17.4440199,78.4624821
sr nagar,Central,17.4452312,78.4449117
punjagutta,Central,17.426957,78.4523925
balkampet,Central,17.4469233,78.4504513
sanathnagar,Central,17.4569654,78.44347806
erragadda,Central,17.4487999,78.4356074
borabanda,Central,17.45167,78.415421
khairatabad,Central,17.4117706,78.4622003
somajiguda,Central,17.4255053,78.4585197
lakdikapool,Central,17.4110155,78.4609821
saifabad,Central,17.4047878,78.4658367
a.c. guards,Central,17.4028042,78.4594873
masab tank,Central,17.4029622,78.450754
chintal basti,Central,17.4096785,78.4570516
musheerabad,Central,17.4191423,78.4985732
chikkadpally,Central,17.400939,78.4976319
domalguda,Central,17.4078455,78.4850003
hyderguda,Central,17.4012791,78.4804894
adikmet,Central,17.4095495,78.5130943
nallakunta,Central,17.3975005,78.50557
shanker mutt,Central,17.4007635,78.50734
rtc x roads,Central,17.4070321,78.4968023
bagh lingampally,Central,17.3974359,78.4979706
golnaka,Central,17.3901064,78.5083605
barkatpura,Central,17.3926121,78.4969683
jamia osmania,Central,17.4102641,78.5180366
kachiguda,Central,17.39004015,78.49462051
badichowdi,Central,17.3883755,78.4877854
nampally,Central,17.3918524,78.4660052
abids,Central,17.3894783,78.477182
aghapura,Central,17.389178,78.4652731
secunderabad,Central,17.4337246,78.5006827
chilkalguda,Central,17.4315325,78.5071619
kavadiguda,Central,17.4227022,78.4917695
mg road (james street),Central,17.4354446,78.4883801
madannapet,Central,17.3585578,78.4971064
mylargadda,Central,17.4222908,78.5169703
namalagundu,Central,17.4252981,78.5148611
padmarao nagar,Central,17.4256007,78.50851533
parsigutta,Central,17.4155855,78.5113023
patny,Central,17.4397016,78.4947847
rp road,Central,17.4414311,78.4955485
sitaphalmandi,Central,17.4297326,78.5174265
tarnaka,Central,17.4285479,78.5379433
bowenpally,Central,17.4755371,78.4792282
karkhana,Central,17.4732138,78.5115017
marredpally,Central,17.4507936,78.5048972
sikh village,Central,17.4600978,78.4872869
trimulgherry,Central,17.4746717,78.5069513
vikrampuri,Central,17.4551989,78.5000903
alijah kotla,Old City,17.3605451,78.4801015
azampura,Old City,17.3761935,78.490874
barkas,Old City,17.3116912,78.4838214
bazarghat,Old City,17.4027867,78.4604489
begum bazaar,Old City,17.3730788,78.4705549
chaderghat,Old City,17.3820325,78.4925338
chanchalguda,Old City,17.3673732,78.4965799
chandrayan gutta,Old City,17.323929,78.4798662
dabirpura,Old City,17.3665277,78.4901244
dar-ul-shifa,Old City,17.3693959,78.4788189
dhoolpet,Old City,17.3721615,78.4605351
falaknuma,Old City,17.33184135,78.46584877
karwan,Old City,17.3800823,78.437475
malakpet,Old City,17.3736706,78.4996484
moghalpura,Old City,17.3575281,78.4770839
lal darwaza,Old City,17.3463862,78.4774507
"madina, hyderabad",Old City,17.3363725,78.466382
mir alam tank,Old City,17.3449642,78.4416561
nawab saheb kunta,Old City,17.3397918,78.4578365
purana pul,Old City,17.3674891,78.4579042
sultan bazar,Old City,17.3870437,78.4869648
uppuguda,Old City,17.340814,78.4841834
yakutpura,Old City,17.3586277,78.4858046
hitec city,Western,17.4490055,78.3831376
madhapur,Western,17.4408578,78.3916289
jubilee hills,Western,17.4308362,78.4102882
banjara hills,Western,17.4177464,78.4399014
film nagar,Western,17.4140574,78.4105031
yousufguda,Western,17.4387499,78.4279866
srinagar colony,Western,17.431231,78.4337951
gachibowli,Western,17.4436222,78.3519638
raidurg,Western,17.4141743,78.3907158
khajaguda,Western,17.4172202,78.3656108
nanakramguda,Western,17.4258278,78.3405519
serilingampally,North Western,17.46565735,78.3406724
chanda nagar,North Western,17.373791,78.2612479
hafeezpet,North Western,17.4823997,78.3630141
miyapur,North Western,17.4981608,78.3567628
kukatpally,North Western,17.4930841,78.4054408
allwyn colony,North Western,17.5043618,78.4149849
bachupally,North Western,17.5410548,78.3635484
kphb,North Western,17.4939602,78.4008412
nizampet,North Western,17.515397,78.3817156
pragathi nagar,North Western,17.5169818,78.3960186
moosapet,North Western,17.4685307,78.4206695
patancheru,North Western,17.5286092,78.2674254
bhel township,North Western,17.4911038,78.3055757
rc puram,North Western,17.5112359,78.2848875
fateh nagar,Northern,17.4581554,78.4513374
ferozguda,Northern,17.4646179,78.4616333
old bowenpally,Northern,17.4755371,78.4792282
hasmathpet,Northern,17.476176,78.4826907
jeedimetla,Northern,17.5096516,78.4786567
jagadgirigutta,Northern,17.5016722,78.4262025
kandlakoya,Northern,17.5916202,78.4928378
alwal,Northern,17.5022292,78.5088584
lothkunta,Northern,17.4956214,78.5155272
old alwal,Northern,17.5060381,78.5007272
shamirpet,Northern,17.5942672,78.5743878
malkajgiri,North Eastern,17.4483438,78.5289727
ammuguda,North Eastern,17.4967373,78.5391875
gautham nagar,North Eastern,17.4608462,78.4589032
kakatiya nagar,North Eastern,17.4146865,78.5397653
moula-ali,North Eastern,17.4668161,78.5592161
neredmet,North Eastern,17.470446,78.5360054
old neredmet,North Eastern,17.470446,78.5360054
safilguda,North Eastern,17.4665153,78.5398739
sainikpuri,North Eastern,17.4892154,78.5424889
yapral,North Eastern,17.5030543,78.5407976
a. s. rao nagar,North Eastern,17.4799497,78.5568336
kushaiguda,North Eastern,17.4825451,78.5726444
cherlapally,North Eastern,17.4687455,78.6024858
dammaiguda,North Eastern,17.5038613,78.5913259
habsiguda,Eastern,17.4154761,78.5426918
ramanthapur,Eastern,17.3885044,78.53716766
boduppal,Eastern,17.4200755,78.5827841
nagole,Eastern,17.3775306,78.5601231
mallapur,Eastern,17.4405369,78.5788551
ghatkesar,Eastern,17.4510837,78.6843022
peerzadiguda,Eastern,17.3945004,78.5925253
chengicherla,Eastern,17.4329342,78.6066091
pocharam,Eastern,17.436614,78.6422235
narapally,Eastern,17.4209065,78.6283752
dilsukhnagar,South Eastern,17.3684307,78.5234283
gaddiannaram,South Eastern,17.3636842,78.523971
moosarambagh,South Eastern,17.3743532,78.5160835
lb nagar,South Eastern,17.3501617,78.5510938
bairamalguda,South Eastern,17.3410616,78.5423473
vanasthalipuram,South Eastern,17.3303179,78.568278
hastinapuram,South Eastern,17.3291354,78.5542145
saroornagar,South Eastern,17.3581194,78.55465394
badangpet,South Eastern,17.3223752,78.5280344
champapet,South Eastern,17.3445706,78.5169717
karmanghat,South Eastern,17.3410061,78.5329747
meerpet,South Eastern,17.4546432,78.57154988
santoshnagar,South Eastern,17.3467185,78.5081947
hayathnagar,South Eastern,17.3281147,78.6045399
mehdipatnam,South Western,17.3942627,78.4342514
gudimalkapur,South Western,17.3879203,78.4371165
langar houz,South Western,17.3827733,78.392535
padmanabha nagar colony,South Western,17.3883845,78.4292503
attapur,South Western,17.3672244,78.4307278
bandlaguda,South Western,17.3714879,78.5727265
gandipet,South Western,17.3743606,78.30112472
kismatpur,South Western,17.3351206,78.3926988
puppalguda,South Western,17.3959138,78.3756838
rajiv gandhi international airport,South Western,17.23092405,78.43184826
umdanagar,South Western,17.2634072,78.3931714
